id;etape;question;source;statut;date_verification;validateur;commentaire
20;2;Remets ce schéma simplifié dans l’ordre.;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
21;3;Classe ces besoins selon le type de compétence qu’ils peuvent mobiliser.;JUSTICE_DPJJ | JUSTICE_ENPJJ;Validée par la conceptrice;2026-07-28;;
22;3;Quel professionnel conduit principalement le travail éducatif auprès du jeune à la PJJ ?;JUSTICE_DPJJ | JUSTICE_ENPJJ;Validée par la conceptrice;2026-07-28;;
23;3;Quels autres professionnels peuvent apporter des compétences complémentaires à celles de l’éducateur ? — 3 réponses attendues;JUSTICE_DPJJ | JUSTICE_ENPJJ;Validée par la conceptrice;2026-07-28;;
24;3;Relie chaque professionnel à son apport principal.;JUSTICE_DPJJ | JUSTICE_ENPJJ;Validée par la conceptrice;2026-07-28;;
25;3;Parmi ces fonctions, laquelle correspond à l’encadrement de proximité d’une unité éducative ?;JUSTICE_DPJJ | JUSTICE_ENPJJ;Validée par la conceptrice;2026-07-28;;
26;3;Remets ces niveaux du plus proche de l’accompagnement vers la direction.;JUSTICE_DPJJ | JUSTICE_ENPJJ;Validée par la conceptrice;2026-07-28;;
27;3;Que signifie RUE ?;JUSTICE_DPJJ | JUSTICE_ENPJJ;Validée par la conceptrice;2026-07-28;;
28;3;Classe ces professionnels selon leur place.;JUSTICE_DPJJ | JUSTICE_ENPJJ;Validée par la conceptrice;2026-07-28;;
29;3;Quand plusieurs métiers mettent en commun leurs compétences et leurs analyses, quel principe cela illustre-t-il ?;JUSTICE_DPJJ | JUSTICE_ENPJJ;Validée par la conceptrice;2026-07-28;;
30;3;Une structure PJJ ne fonctionne pas uniquement avec l’équipe éducative. Quels autres personnels participent aussi à son fonctionnement ? — 2 réponses attendues;JUSTICE_DPJJ | JUSTICE_ENPJJ;Validée par la conceptrice;2026-07-28;;
31;4;Parmi ces appellations, conserve celle de la direction nationale chargée de la PJJ.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
32;4;Quel sigle désigne cette direction nationale ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
33;4;Remets ces échelles d’organisation de la plus large à la plus proche du terrain.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
34;4;Classe ces éléments selon leur niveau dans l’organisation.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
35;4;Quel sigle désigne une direction interrégionale ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
36;4;Parmi ces associations, lesquelles sont exactes ? — 2 réponses attendues;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
37;4;Relie chaque appellation à son sigle.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
38;4;Toutes les structures qui participent aux missions de la PJJ appartiennent-elles au secteur public ?;JUSTICE_SAH | JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
39;4;Les structures associatives habilitées constituent le « secteur associatif habilité ». Quel sigle désigne ce secteur ?;JUSTICE_SAH | JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
40;4;Remets les niveaux PJJ du plus national au plus opérationnel.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
41;5;Remets les éléments permettant de déterminer une prise en charge dans leur logique.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
42;5;Classe chaque description selon la modalité qu’elle représente.;JUSTICE_UEMO | JUSTICE_UEAJ | JUSTICE_UEAT | JUSTICE_EPE;Validée par la conceptrice;2026-07-28;;
43;5;Le jeune reste dans son environnement habituel pendant l’intervention éducative. Quelle unité est spécialisée dans cette prise en charge ?;JUSTICE_UEMO | JUSTICE_UEAJ | JUSTICE_UEAT | JUSTICE_EPE;Validée par la conceptrice;2026-07-28;;
44;5;En plus de l’UEMO, sélectionne les deux unités qui interviennent sans héberger le jeune. — 2 réponses attendues;JUSTICE_UEMO | JUSTICE_UEAJ | JUSTICE_UEAT | JUSTICE_EPE;Validée par la conceptrice;2026-07-28;;
45;5;Relie chaque unité ou structure à sa fonction principale.;JUSTICE_UEMO | JUSTICE_UEAJ | JUSTICE_UEAT | JUSTICE_EPE;Validée par la conceptrice;2026-07-28;;
46;5;Parmi ces appellations, laquelle désigne un établissement consacré au placement éducatif ?;JUSTICE_EPE;Validée par la conceptrice;2026-07-28;;
47;5;Que signifie EPE ?;JUSTICE_EPE;Validée par la conceptrice;2026-07-28;;
48;5;Certains établissements associent placement éducatif et insertion. Remets les mots dans l’ordre pour reconstituer leur appellation.;JUSTICE_EPEI | JUSTICE_CER | JUSTICE_CEF;Validée par la conceptrice;2026-07-28;;
49;5;Classe ces structures selon leur logique.;JUSTICE_EPEI | JUSTICE_CER | JUSTICE_CEF;Validée par la conceptrice;2026-07-28;;
50;5;Le décret du 12 mars 2026 portant réforme du placement éducatif crée une nouvelle appellation donnant la priorité à l’éducatif. Laquelle ?;LEGIFRANCE_UJPE_DECREE | LEGIFRANCE_UJPE;Validée par la conceptrice;2026-07-28;;
51;6;Parmi les difficultés rencontrées par les jeunes suivis par la PJJ, lesquelles peuvent faire partie de leur prise en charge ? — 3 réponses attendues;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
52;6;Parmi ces propositions, retire les deux qui ne correspondent pas à des outils destinés à recueillir des informations sur la situation d’un mineur.;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
53;6;Une investigation éducative approfondie est nécessaire. Quelle appellation correspond à cet outil ?;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
54;6;Que signifie RRSE ?;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
55;6;Remets la démarche d’investigation dans l’ordre.;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
56;6;Relie chaque élément à ce qu’il permet d’identifier.;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
57;6;La justice pénale des mineurs est organisée par un code qui lui est spécifiquement consacré. Comment s’appelle-t-il ?;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
58;6;Deux mesures portent les appellations « mesure éducative judiciaire » et « mesure éducative judiciaire provisoire ». Quels sigles leur correspondent ? — 2 réponses attendues;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
59;6;Relie chaque sigle à son appellation.;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
60;6;Une période éducative peut avoir lieu entre la déclaration de culpabilité et la sanction. Comment appelle-t-on ce fonctionnement ?;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
61;7;Remets la logique éducative dans l’ordre.;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
62;7;Classe les quatre modules pouvant compléter une MEJ selon leur domaine.;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
63;7;Faire comprendre au jeune ses actes et leurs conséquences vise principalement…;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
64;7;Parmi ces finalités, lesquelles forment le triptyque associé aux missions éducatives de la PJJ ? — 3 réponses attendues;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
65;7;Relie chaque objectif à un exemple.;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
66;7;Parmi ces objectifs, lequel correspond au fait de chercher à éviter de nouveaux passages à l’acte ?;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
67;7;Comment appelle-t-on l’objectif visant à éviter de nouveaux passages à l’acte ?;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
68;7;Remets cette logique d’adaptation dans l’ordre.;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
69;7;Classe ces finalités selon ce qu’elles cherchent principalement à faire évoluer.;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
70;7;Comment appelle-t-on le principe « d’individualité » qui consiste à adapter la prise en charge à la situation et aux besoins propres à chaque jeune ?;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
71;8;Un besoin concerne principalement la scolarité. Quel partenaire institutionnel est directement concerné ?;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
72;8;Quels domaines peuvent conduire la PJJ à mobiliser des partenaires spécialisés ? — 3 réponses attendues;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
73;8;Relie chaque besoin au partenaire qui dispose de la compétence correspondante.;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
74;8;Dans le fonctionnement partenarial de la PJJ, le partage d’informations n’est pas illimité. Quelle pratique correspond à ce principe ?;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
75;8;Classe ces partenaires selon leur domaine principal.;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
76;8;Le travail en réseau part d’un besoin du jeune et mobilise ensuite les compétences adaptées. Remets cette logique dans l’ordre.;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
77;8;La PJJ ne répond pas seule à tous les besoins d’un jeune et s’appuie aussi sur l’école, la santé, l’insertion ou les services sociaux. Comment appelle-t-on cette façon de travailler ?;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
78;8;Plusieurs partenaires interviennent autour du même jeune. Qu’est-ce qui permet de maintenir une action cohérente ?;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
79;8;Pourquoi la PJJ fait-elle appel à des partenaires différents autour d’un jeune ? — 2 réponses attendues;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
80;8;Relie chaque notion à ce qu’elle représente dans le travail en réseau.;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
81;9;Quels publics peuvent être suivis par la PJJ ?;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
82;9;Classe ces acteurs selon leur fonction.;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
83;9;Remets le fonctionnement général d’une intervention dans l’ordre.;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
84;9;Dans une mesure PJJ, un professionnel peut assurer plus particulièrement le suivi du jeune tout en travaillant avec l’équipe. Comment appelle-t-on cette fonction ?;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
85;9;Par quel moyen la PJJ rend-elle notamment compte de l’évolution d’un jeune à l’autorité judiciaire ?;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
86;9;Quelles fonctions le dossier d’un jeune peut-il notamment remplir ? — 3 réponses attendues;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
87;9;Relie chaque élément à son utilité.;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
88;9;Jusqu’à quel âge un jeune majeur peut-il encore être pris en charge par la PJJ dans certains cadres judiciaires ?;JUSTICE_DPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
89;9;Quel sigle désigne l’École nationale de protection judiciaire de la jeunesse ?;JUSTICE_ENPJJ;Validée par la conceptrice;2026-07-28;;
90;9;Remets ces étapes concernant le passage à la majorité dans l’ordre.;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
91;10;Classe ces sigles selon leur famille.;JUSTICE_DPJJ | JUSTICE_ENPJJ | LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
92;10;Quel sigle désigne le tribunal pour enfants ?;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
93;10;Quels sigles désignent des unités éducatives ? — 3 réponses attendues;JUSTICE_UEMO | JUSTICE_UEAJ | JUSTICE_UEAT;Validée par la conceptrice;2026-07-28;;
94;10;Relie ces sigles de structures à leur appellation.;JUSTICE_STEMOI | JUSTICE_EPEI;Validée par la conceptrice;2026-07-28;;
95;10;Parmi ces sigles, lequel désigne un code juridique ?;LEGIFRANCE_CJPM;Validée par la conceptrice;2026-07-28;;
96;10;Que signifie STEMOI ?;JUSTICE_STEMOI;Validée par la conceptrice;2026-07-28;;
97;10;Classe ces sigles selon leur nature.;LEGIFRANCE_CJPM | JUSTICE_ENPJJ | LEGIFRANCE_UJPE_DECREE;Validée par la conceptrice;2026-07-28;;
98;10;Quelle nouvelle unité a été créée par le décret du 12 mars 2026 portant réforme du placement éducatif de la PJJ ?;LEGIFRANCE_UJPE_DECREE | LEGIFRANCE_UJPE;Validée par la conceptrice;2026-07-28;;
99;10;UEAJ et UEAT sont toutes deux des unités PJJ. Qu’est-ce qui les distingue principalement ?;JUSTICE_UEAJ | JUSTICE_UEAT;Validée par la conceptrice;2026-07-28;;
100;10;Parmi ces associations, sélectionne les 6 exactes. — 6 réponses attendues;JUSTICE_STEMOI | JUSTICE_UEMO | JUSTICE_UEAJ | JUSTICE_UEAT | JUSTICE_EPE;Validée par la conceptrice;2026-07-28;;
101;11;À quel ministère la PJJ est-elle rattachée et quelle est sa nature au sein de ce ministère ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
102;11;Une difficulté sociale suffit-elle, à elle seule, à permettre l’intervention de la PJJ dans une situation individuelle ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
103;11;Qu’est-ce qui permet concrètement à la PJJ d’intervenir dans une situation individuelle relevant d’un cadre judiciaire ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
104;11;Parmi ces fonctions, lesquelles peuvent relever de la PJJ ? — 3 réponses attendues;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
105;11;Quelle différence essentielle existe entre l’autorité judiciaire et la PJJ ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
106;11;Dans une procédure pénale, comment appelle-t-on l’organisation des magistrats du ministère public auprès d’une juridiction ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
107;11;Parmi ces acteurs, lequel appartient au personnel de greffe et non aux magistrats ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
108;11;Quel magistrat dirige le parquet auprès du tribunal judiciaire ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
109;11;Quelles associations entre acteurs et rôles sont exactes ? — 3 réponses attendues;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
110;11;Comment désigne-t-on juridiquement les parents ou le tuteur qui représentent le mineur ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
111;11;Cite les quatre professions étudiées pouvant constituer le cœur d’une équipe pluridisciplinaire PJJ.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-30;;
112;11;Quel professionnel est principalement chargé de l’accompagnement éducatif du jeune ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
113;11;Quel professionnel apporte principalement une approche clinique et psychologique ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
114;11;Parmi ces associations, sélectionne les trois qui relient correctement un professionnel ou un responsable PJJ à son rôle. — 3 réponses attendues;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-30;;
115;11;Comment appelle-t-on le principe selon lequel plusieurs métiers croisent leurs compétences et leurs analyses ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
116;11;Que signifie le sigle RUE ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
117;11;Entre le RUE et le directeur, qui assure l’encadrement de proximité de l’unité ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
118;11;Que signifie DPJJ ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
119;11;Quels éléments sont des niveaux de direction de la PJJ ? — 3 réponses attendues;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
120;11;Dans l’organisation de la PJJ, quelle direction se situe entre la DPJJ, au niveau national, et la DT, au niveau territorial ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-30;;
121;11;Que signifie DT dans l’organisation de la PJJ ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
122;11;Quelle proposition respecte l’organisation du niveau le plus large au plus opérationnel ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
123;11;Développe le sigle STEMO.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-30;;
124;11;Quelles affirmations sont exactes ? — 3 réponses attendues;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
125;11;Quelle différence d’appellation existe entre STEMO et STEMOI ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
126;11;Que signifie SAH ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
127;11;Un jeune demeure dans son environnement habituel pendant sa prise en charge. À quelle grande modalité cela correspond-il ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
128;11;Quelle unité est principalement associée au milieu ouvert ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
129;11;Quelles associations entre structures et fonctions sont exactes ? — 3 réponses attendues;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
130;11;Développe le sigle EPEI.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
131;11;Quelle différence principale retiens-tu entre un CER et un CEF ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
132;11;Quelle structure est associée au cadre de placement le plus contraignant parmi les propositions ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
133;11;Quel sigle désigne l’Unité judiciaire à priorité éducative ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
134;11;Parmi ces affirmations relatives aux prises en charge, lesquelles sont exactes ? — 3 réponses attendues;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
135;11;Quelle date est associée au décret portant réforme du placement éducatif ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
136;11;Développe le sigle MJIE.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
137;11;Quel outil correspond à un recueil plus rapide et synthétique d’informations socio-éducatives ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
138;11;Développe le sigle RRSE.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
139;11;Quelles associations sont exactes ? — 4 réponses attendues;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
140;11;Quel code organise spécifiquement la justice pénale des mineurs ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
141;11;Comment appelle-t-on le fonctionnement dans lequel une période éducative peut séparer la déclaration de culpabilité de la décision sur la sanction ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
142;11;Parmi ces ensembles, lequel contient uniquement les quatre modules pouvant compléter une MEJ ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
143;11;Comment appelle-t-on l’objectif qui consiste à faire comprendre au jeune ses actes et leurs conséquences ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
144;11;Cite les trois finalités du triptyque de la PJJ.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-30;;
145;11;Parmi ces propositions, laquelle traduit le principe d’individualisation ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
146;11;Comment appelle-t-on l’objectif visant à limiter de nouveaux passages à l’acte ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
147;11;Cite les quatre partenaires ou catégories de partenaires correspondant à la scolarité, la santé, l’insertion et les difficultés sociales.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
148;11;Comment appelle-t-on la façon de travailler qui mobilise plusieurs partenaires aux compétences complémentaires autour des besoins d’un jeune ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
149;11;Quelle affirmation décrit correctement le référent d’une mesure ?;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
150;11;Cite les trois fonctions principales du dossier du jeune étudiées précédemment.;JUSTICE_DPJJ;Validée par la conceptrice;2026-07-28;;
